frame_number,timestamp,north_count,south_count,east_count,west_count,current_phase,active_phase,secondary_lane,green_timer,emergency_lane,emergency_override
444,2026-04-29T23:03:19.960018,13,32,6,16,all_red,1,,2.1,,0
2048,2026-04-29T23:04:25.265368,0,0,0,0,all_red,0,,2.0,,0
2652,2026-04-29T23:04:51.301668,0,0,0,0,all_red,1,,2.1,,0
3172,2026-04-29T23:05:13.450498,0,0,0,0,all_red,0,,3.1,,0
3712,2026-04-29T23:05:39.689909,0,0,0,0,all_red,1,,2.1,,0
4080,2026-04-29T23:06:00.169288,0,0,0,0,all_red,0,,2.1,,0
4788,2026-04-29T23:06:27.792352,0,0,0,0,all_red,1,,2.1,,0
5344,2026-04-29T23:06:49.166513,0,0,0,0,all_red,0,,2.1,,0
6060,2026-04-29T23:07:14.946736,0,0,0,0,all_red,1,,2.4,,0
6624,2026-04-29T23:07:50.850324,0,0,0,0,all_red,0,,2.1,,0
7456,2026-04-29T23:08:16.114675,0,0,0,0,all_red,1,,2.1,,0
8108,2026-04-29T23:08:39.460888,0,0,0,0,all_red,0,,4.6,,0
8784,2026-04-29T23:09:05.694950,0,0,0,0,all_red,1,,2.2,,0
9468,2026-04-29T23:09:26.147768,0,0,0,0,all_red,0,,2.1,,0
10336,2026-04-29T23:09:57.248743,0,0,0,0,all_red,1,,7.7,,0
10984,2026-04-29T23:10:17.795101,0,0,0,0,all_red,0,,2.1,,0
11896,2026-04-29T23:10:43.815241,0,0,0,0,all_red,1,,2.2,,0
12444,2026-04-29T23:11:04.956872,0,0,0,0,all_red,0,,2.1,,0
13324,2026-04-29T23:11:30.448435,0,0,0,0,all_red,1,,2.1,,0
14056,2026-04-29T23:11:51.847265,0,0,0,0,all_red,0,,2.1,,0
14944,2026-04-29T23:12:18.039530,0,0,0,0,all_red,1,,2.0,,0
15648,2026-04-29T23:12:38.686516,0,0,0,0,all_red,0,,2.1,,0
16452,2026-04-29T23:13:04.969257,0,0,0,0,all_red,1,,2.5,,0
17176,2026-04-29T23:13:25.890726,0,0,0,0,all_red,0,,2.1,,0
18032,2026-04-29T23:13:51.296627,0,0,0,0,all_red,1,,2.1,,0
18752,2026-04-29T23:14:11.885985,0,0,0,0,all_red,0,,2.2,,0
19648,2026-04-29T23:14:37.856666,0,0,0,0,all_red,1,,2.1,,0
20380,2026-04-29T23:14:59.220350,0,0,0,0,all_red,0,,2.2,,0
21252,2026-04-29T23:15:25.041364,0,0,0,0,all_red,1,,2.1,,0
21980,2026-04-29T23:15:46.005813,0,0,0,0,all_red,0,,2.1,,0
22872,2026-04-29T23:16:11.741813,0,0,0,0,all_red,1,,2.1,,0
23528,2026-04-29T23:16:32.753928,0,0,0,0,all_red,0,,2.0,,0
23908,2026-04-29T23:17:10.612856,0,0,0,0,all_red,1,,2.2,,0
24648,2026-04-29T23:17:31.776176,0,0,0,0,all_red,0,,2.1,,0
25560,2026-04-29T23:17:58.306725,0,0,0,0,all_red,1,,2.0,,0
26260,2026-04-29T23:18:19.475738,0,0,0,0,all_red,0,,2.1,,0
27136,2026-04-29T23:18:45.742366,0,0,0,0,all_red,1,,2.5,,0
27872,2026-04-29T23:19:06.789112,0,0,0,0,all_red,0,,2.1,,0
28748,2026-04-29T23:19:32.906691,0,0,0,0,all_red,1,,2.1,,0
29096,2026-04-29T23:19:57.188706,0,0,0,0,all_red,0,,2.1,,0
29744,2026-04-29T23:20:23.236462,0,0,0,0,all_red,1,,2.0,,0
30336,2026-04-29T23:20:43.727997,0,0,0,0,all_red,0,,2.0,,0
30752,2026-04-29T23:21:50.484213,0,0,0,0,all_red,1,,2.4,,0
31420,2026-04-29T23:22:11.542175,0,0,0,0,all_red,0,,2.1,,0
32324,2026-04-29T23:22:37.008352,0,0,0,0,all_red,1,,2.2,,0
33024,2026-04-29T23:22:57.561409,0,0,0,0,all_red,0,,2.1,,0
33928,2026-04-29T23:23:23.660478,0,0,0,0,all_red,1,,2.0,,0
34664,2026-04-29T23:23:44.809324,0,0,0,0,all_red,0,,2.1,,0
35568,2026-04-29T23:24:10.560082,0,0,0,0,all_red,1,,2.1,,0
36296,2026-04-29T23:24:31.798796,0,0,0,0,all_red,0,,2.0,,0
37180,2026-04-29T23:24:57.177888,0,0,0,0,all_red,1,,2.0,,0
37856,2026-04-29T23:25:17.543017,0,0,0,0,all_red,0,,2.0,,0
38752,2026-04-29T23:25:43.377697,0,0,0,0,all_red,1,,2.1,,0
39476,2026-04-29T23:26:04.188576,0,0,0,0,all_red,0,,2.2,,0
40376,2026-04-29T23:26:30.447477,0,0,0,0,all_red,1,,2.1,,0
41096,2026-04-29T23:26:51.009696,0,0,0,0,all_red,0,,2.2,,0
